G = general actions (can be done basically anywhere)
S = specific actions (requires specific courses or objects or something)
R = routing actions (things like spawns, deaths, star actions)

R | ACT_UNINITIALIZED
G | ACT_WAKING_UP: ACT_SLEEPING: ACT_START_SLEEPING: ACT_IDLE
G | ACT_PANTING: ACT_IDLE
S | ACT_HOLD_IDLE
G | ACT_STANDING_AGAINST_WALL: ACT_WALKING
S | ACT_COUGHING: ACT_IDLE
S | ACT_SHIVERING: ACT_IDLE
S | ACT_IN_QUICKSAND
G | ACT_START_CROUCHING
G | ACT_STOP_CROUCHING: ACT_CROUCHING
G | ACT_STOP_CRAWLING: ACT_CRAWLING: ACT_START_CRAWLING: ACT_CROUCHING
G | ACT_SLIDE_KICK_SLIDE_STOP: ACT_SLIDE_KICK_SLIDE: ACT_SLIDE_KICK: ACT_CROUCH_SLIDE
S | ACT_SHOCKWAVE_BOUNCE
G | ACT_FIRST_PERSON
G | ACT_DOUBLE_JUMP_LAND_STOP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
G | ACT_FREEFALL_LAND_STOP
G | ACT_SIDE_FLIP_LAND_STOP: ACT_SIDE_FLIP_LAND: ACT_SIDE_FLIP
S | ACT_HOLD_JUMP_LAND_STOP
S | ACT_HOLD_FREEFALL_LAND_STOP: ACT_HOLD_FREEFALL_LAND: ACT_HOLD_FREEFALL
S | ACT_AIR_THROW_LAND: ACT_AIR_THROW
S | ACT_TWIRL_LAND: ACT_TWIRLING
S | ACT_LAVA_BOOST_LAND: ACT_LAVA_BOOST
G | ACT_TRIPLE_JUMP_LAND_STOP: ACT_TRIPLE_JUMP_LAND: ACT_TRIPLE_JUMP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
G | ACT_LONG_JUMP_LAND_STOP: ACT_LONG_JUMP_LAND: ACT_LONG_JUMP
G | ACT_BRAKING_STOP: ACT_BRAKING
G | ACT_BUTT_SLIDE_STOP
S | ACT_HOLD_BUTT_SLIDE_STOP: ACT_HOLD_BUTT_SLIDE
G | ACT_FINISH_TURNING_AROUND: ACT_TURNING_AROUND: ACT_WALKING
S | ACT_HOLD_HEAVY_WALKING: ACT_HOLD_HEAVY_IDLE: ACT_PICKING_UP: ACT_PUNCHING
G | ACT_DECELERATING: ACT_WALKING
S | ACT_HOLD_DECELERATING: ACT_HOLD_WALKING
S | ACT_HOLD_STOMACH_SLIDE
G | ACT_MOVE_PUNCHING
G | ACT_BACKWARD_GROUND_KB
S | ACT_FORWARD_GROUND_KB
S | ACT_SOFT_BACKWARD_GROUND_KB
S | ACT_SOFT_FORWARD_GROUND_KB
G | ACT_GROUND_BONK
G | ACT_JUMP_LAND
G | ACT_FREEFALL_LAND
S | ACT_HOLD_JUMP_LAND
S | ACT_QUICKSAND_JUMP_LAND
S | ACT_HOLD_QUICKSAND_JUMP_LAND
G | ACT_BACKFLIP_LAND_STOP: ACT_BACKFLIP_LAND: ACT_BACKFLIP
G | ACT_JUMP
G | ACT_STEEP_JUMP
G | ACT_WALL_KICK_AIR
S | ACT_WATER_JUMP
G | ACT_FREEFALL
G | ACT_BUTT_SLIDE_AIR: ACT_BUTT_SLIDE
S | ACT_FLYING_TRIPLE_JUMP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
S | ACT_SHOT_FROM_CANNON: ACT_IN_CANNON
S | ACT_FLYING
S | ACT_RIDING_SHELL_JUMP: ACT_RIDING_SHELL_GROUND
S | ACT_RIDING_SHELL_FALL: ACT_RIDING_SHELL_GROUND
S | ACT_VERTICAL_WIND
S | ACT_HOLD_JUMP
S | ACT_HOLD_BUTT_SLIDE_AIR: ACT_HOLD_BUTT_SLIDE
S | ACT_HOLD_WATER_JUMP
G | ACT_FORWARD_ROLLOUT
G | ACT_AIR_HIT_WALL
S | ACT_RIDING_HOOT
G | ACT_JUMP_KICK
G | ACT_BACKWARD_ROLLOUT
S | ACT_CRAZY_BOX_BOUNCE: ACT_STOMACH_SLIDE
S | ACT_SPECIAL_TRIPLE_JUMP
G | ACT_BACKWARD_AIR_KB
S | ACT_FORWARD_AIR_KB
S | ACT_HARD_FORWARD_AIR_KB
S | ACT_BURNING_JUMP: ACT_BURNING_GROUND
S | ACT_BURNING_FALL
G | ACT_SOFT_BONK
S | ACT_GETTING_BLOWN: ACT_HARD_BACKWARD_AIR_KB
S | ACT_THROWN_FORWARD: ACT_GRABBED
S | ACT_THROWN_BACKWARD: ACT_GRABBED
S | ACT_WATER_IDLE
S | ACT_HOLD_WATER_IDLE
S | ACT_WATER_ACTION_END
S | ACT_HOLD_WATER_ACTION_END
S | ACT_DROWNING
S | ACT_BACKWARD_WATER_KB
S | ACT_FORWARD_WATER_KB
S | ACT_WATER_DEATH
S | ACT_WATER_SHOCKED
S | ACT_BREASTSTROKE
S | ACT_SWIMMING_END: ACT_FLUTTER_KICK
S | ACT_HOLD_BREASTSTROKE
S | ACT_HOLD_SWIMMING_END: ACT_HOLD_FLUTTER_KICK
S | ACT_WATER_SHELL_SWIMMING: ACT_WATER_PUNCH
S | ACT_WATER_THROW
S | ACT_WATER_PLUNGE
S | ACT_CAUGHT_IN_WHIRLPOOL
S | ACT_METAL_WATER_STANDING
S | ACT_HOLD_METAL_WATER_STANDING
S | ACT_METAL_WATER_WALKING
S | ACT_HOLD_METAL_WATER_WALKING
S | ACT_METAL_WATER_FALL_LAND: ACT_METAL_WATER_FALLING
S | ACT_HOLD_METAL_WATER_FALL_LAND: ACT_HOLD_METAL_WATER_FALLING
S | ACT_METAL_WATER_JUMP_LAND: ACT_METAL_WATER_JUMP
S | ACT_HOLD_METAL_WATER_JUMP_LAND: ACT_HOLD_METAL_WATER_JUMP
R | ACT_DISAPPEARED
R | ACT_INTRO_CUTSCENE
R | ACT_STAR_DANCE_EXIT
R | ACT_STAR_DANCE_WATER
R | ACT_FALL_AFTER_STAR_GRAB
S | ACT_READING_NPC_DIALOG
R | ACT_STAR_DANCE_NO_EXIT
S | ACT_READING_SIGN
S | ACT_WAITING_FOR_DIALOG
R | ACT_QUICKSAND_DEATH
R | ACT_ELECTROCUTION: ACT_SHOCKED
R | ACT_SUFFOCATION: ACT_STANDING_DEATH
R | ACT_DEATH_ON_STOMACH: ACT_HARD_FORWARD_GROUND_KB
R | ACT_DEATH_ON_BACK: ACT_HARD_BACKWARD_GROUND_KB
R | ACT_EATEN_BY_BUBBA
R | ACT_END_WAVING_CUTSCENE: ACT_CREDITS_CUTSCENE: ACT_END_PEACH_CUTSCENE: ACT_JUMBO_STAR_CUTSCENE
S | ACT_PULLING_DOOR
S | ACT_PUSHING_DOOR
S | ACT_WARP_DOOR_SPAWN
S | ACT_EMERGE_FROM_PIPE: ACT_JUMP_LAND_STOP
R | ACT_SPAWN_SPIN_LANDING: ACT_SPAWN_SPIN_AIRBORNE
R | ACT_EXIT_AIRBORNE: ACT_EXIT_LAND_SAVE_DIALOG
R | ACT_DEATH_EXIT: ACT_DEATH_EXIT_LAND
R | ACT_FALLING_DEATH_EXIT: ACT_DEATH_EXIT_LAND
R | ACT_SPECIAL_EXIT_AIRBORNE
R | ACT_SPECIAL_DEATH_EXIT
R | ACT_FALLING_EXIT_AIRBORNE: ACT_EXIT_LAND_SAVE_DIALOG
S | ACT_UNLOCKING_KEY_DOOR
S | ACT_UNLOCKING_STAR_DOOR: ACT_READING_AUTOMATIC_DIALOG
