G | ACT_WAKING_UP: ACT_SLEEPING: ACT_START_SLEEPING: ACT_IDLE
G | ACT_PANTING: ACT_IDLE
G | ACT_STANDING_AGAINST_WALL: ACT_WALKING
G | ACT_START_CROUCHING
G | ACT_STOP_CROUCHING: ACT_CROUCHING
G | ACT_STOP_CRAWLING: ACT_CRAWLING: ACT_START_CRAWLING: ACT_CROUCHING
G | ACT_SLIDE_KICK_SLIDE_STOP: ACT_SLIDE_KICK_SLIDE: ACT_SLIDE_KICK: ACT_CROUCH_SLIDE
G | ACT_FIRST_PERSON
G | ACT_DOUBLE_JUMP_LAND_STOP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
G | ACT_FREEFALL_LAND_STOP
G | ACT_SIDE_FLIP_LAND_STOP: ACT_SIDE_FLIP_LAND: ACT_SIDE_FLIP
G | ACT_TRIPLE_JUMP_LAND_STOP: ACT_TRIPLE_JUMP_LAND: ACT_TRIPLE_JUMP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
G | ACT_LONG_JUMP_LAND_STOP: ACT_LONG_JUMP_LAND: ACT_LONG_JUMP
G | ACT_BRAKING_STOP: ACT_BRAKING
G | ACT_BUTT_SLIDE_STOP
G | ACT_FINISH_TURNING_AROUND: ACT_TURNING_AROUND: ACT_WALKING
G | ACT_DECELERATING: ACT_WALKING
G | ACT_MOVE_PUNCHING
G | ACT_BACKWARD_GROUND_KB
G | ACT_GROUND_BONK
G | ACT_JUMP_LAND
G | ACT_FREEFALL_LAND
G | ACT_BACKFLIP_LAND_STOP: ACT_BACKFLIP_LAND: ACT_BACKFLIP
G | ACT_JUMP
G | ACT_STEEP_JUMP
G | ACT_WALL_KICK_AIR
G | ACT_FREEFALL
G | ACT_BUTT_SLIDE_AIR: ACT_BUTT_SLIDE
G | ACT_FORWARD_ROLLOUT
G | ACT_AIR_HIT_WALL
G | ACT_JUMP_KICK
G | ACT_BACKWARD_ROLLOUT
G | ACT_BACKWARD_AIR_KB
G | ACT_SOFT_BONK
G | ACT_SQUISHED
G | ACT_STOMACH_SLIDE_STOP
