R | ACT_UNINITIALIZED
R | ACT_DROWNING
R | ACT_WATER_DEATH
R | ACT_CAUGHT_IN_WHIRLPOOL
R | ACT_DISAPPEARED
R | ACT_INTRO_CUTSCENE
R | ACT_STAR_DANCE_EXIT
R | ACT_STAR_DANCE_WATER
R | ACT_FALL_AFTER_STAR_GRAB
R | ACT_STAR_DANCE_NO_EXIT
R | ACT_QUICKSAND_DEATH
R | ACT_ELECTROCUTION: ACT_SHOCKED
R | ACT_SUFFOCATION: ACT_STANDING_DEATH
R | ACT_DEATH_ON_STOMACH: ACT_HARD_FORWARD_GROUND_KB
R | ACT_DEATH_ON_BACK: ACT_HARD_BACKWARD_GROUND_KB
R | ACT_EATEN_BY_BUBBA
R | ACT_END_WAVING_CUTSCENE: ACT_CREDITS_CUTSCENE: ACT_END_PEACH_CUTSCENE: ACT_JUMBO_STAR_CUTSCENE
R | ACT_SPAWN_SPIN_LANDING: ACT_SPAWN_SPIN_AIRBORNE
R | ACT_EXIT_AIRBORNE: ACT_EXIT_LAND_SAVE_DIALOG
R | ACT_DEATH_EXIT: ACT_DEATH_EXIT_LAND
R | ACT_FALLING_DEATH_EXIT: ACT_DEATH_EXIT_LAND
R | ACT_SPECIAL_EXIT_AIRBORNE: ACT_EXIT_LAND_SAVE_DIALOG
R | ACT_SPECIAL_DEATH_EXIT: ACT_HARD_BACKWARD_GROUND_KB
R | ACT_FALLING_EXIT_AIRBORNE: ACT_EXIT_LAND_SAVE_DIALOG
R | ACT_SPAWN_NO_SPIN_LANDING: ACT_SPAWN_NO_SPIN_AIRBORNE
R | ACT_BBH_ENTER_JUMP: ACT_BBH_ENTER_SPIN
