S | ACT_HOLD_IDLE
S | ACT_COUGHING: ACT_IDLE
S | ACT_SHIVERING: ACT_IDLE
S | ACT_IN_QUICKSAND
S | ACT_SHOCKWAVE_BOUNCE
S | ACT_HOLD_JUMP_LAND_STOP
S | ACT_HOLD_FREEFALL_LAND_STOP: ACT_HOLD_FREEFALL_LAND: ACT_HOLD_FREEFALL
S | ACT_AIR_THROW_LAND: ACT_AIR_THROW
S | ACT_TWIRL_LAND: ACT_TWIRLING
S | ACT_LAVA_BOOST_LAND: ACT_LAVA_BOOST
S | ACT_HOLD_BUTT_SLIDE_STOP: ACT_HOLD_BUTT_SLIDE
S | ACT_HOLD_HEAVY_WALKING: ACT_HOLD_HEAVY_IDLE: ACT_PICKING_UP: ACT_PUNCHING
S | ACT_HOLD_DECELERATING: ACT_HOLD_WALKING
S | ACT_HOLD_STOMACH_SLIDE
S | ACT_FORWARD_GROUND_KB
S | ACT_SOFT_BACKWARD_GROUND_KB
S | ACT_SOFT_FORWARD_GROUND_KB
S | ACT_HOLD_JUMP_LAND
S | ACT_QUICKSAND_JUMP_LAND
S | ACT_HOLD_QUICKSAND_JUMP_LAND
S | ACT_WATER_JUMP
S | ACT_FLYING_TRIPLE_JUMP: ACT_DOUBLE_JUMP_LAND: ACT_DOUBLE_JUMP
S | ACT_SHOT_FROM_CANNON: ACT_IN_CANNON
S | ACT_FLYING
S | ACT_RIDING_SHELL_JUMP: ACT_RIDING_SHELL_GROUND
S | ACT_RIDING_SHELL_FALL: ACT_RIDING_SHELL_GROUND
S | ACT_VERTICAL_WIND
S | ACT_HOLD_JUMP
S | ACT_HOLD_BUTT_SLIDE_AIR: ACT_HOLD_BUTT_SLIDE
S | ACT_HOLD_WATER_JUMP
S | ACT_RIDING_HOOT
S | ACT_CRAZY_BOX_BOUNCE: ACT_STOMACH_SLIDE
S | ACT_SPECIAL_TRIPLE_JUMP
S | ACT_FORWARD_AIR_KB
S | ACT_HARD_FORWARD_AIR_KB
S | ACT_BURNING_JUMP: ACT_BURNING_GROUND
S | ACT_BURNING_FALL
S | ACT_GETTING_BLOWN: ACT_HARD_BACKWARD_AIR_KB
S | ACT_THROWN_FORWARD: ACT_GRABBED
S | ACT_THROWN_BACKWARD: ACT_GRABBED
S | ACT_WATER_IDLE
S | ACT_HOLD_WATER_IDLE
S | ACT_WATER_ACTION_END
S | ACT_HOLD_WATER_ACTION_END
S | ACT_DROWNING
S | ACT_BACKWARD_WATER_KB
S | ACT_FORWARD_WATER_KB
S | ACT_WATER_DEATH
S | ACT_WATER_SHOCKED
S | ACT_BREASTSTROKE
S | ACT_SWIMMING_END: ACT_FLUTTER_KICK
S | ACT_HOLD_BREASTSTROKE
S | ACT_HOLD_SWIMMING_END: ACT_HOLD_FLUTTER_KICK
S | ACT_WATER_SHELL_SWIMMING: ACT_WATER_PUNCH
S | ACT_WATER_THROW
S | ACT_WATER_PLUNGE
S | ACT_CAUGHT_IN_WHIRLPOOL
S | ACT_METAL_WATER_STANDING
S | ACT_HOLD_METAL_WATER_STANDING
S | ACT_METAL_WATER_WALKING
S | ACT_HOLD_METAL_WATER_WALKING
S | ACT_METAL_WATER_FALL_LAND: ACT_METAL_WATER_FALLING
S | ACT_HOLD_METAL_WATER_FALL_LAND: ACT_HOLD_METAL_WATER_FALLING
S | ACT_METAL_WATER_JUMP_LAND: ACT_METAL_WATER_JUMP
S | ACT_HOLD_METAL_WATER_JUMP_LAND: ACT_HOLD_METAL_WATER_JUMP
S | ACT_READING_NPC_DIALOG
S | ACT_READING_SIGN
S | ACT_WAITING_FOR_DIALOG
S | ACT_PULLING_DOOR
S | ACT_PUSHING_DOOR
S | ACT_WARP_DOOR_SPAWN
S | ACT_EMERGE_FROM_PIPE: ACT_JUMP_LAND_STOP
S | ACT_UNLOCKING_KEY_DOOR
S | ACT_UNLOCKING_STAR_DOOR: ACT_READING_AUTOMATIC_DIALOG
S | ACT_ENTERING_STAR_DOOR
S | ACT_TELEPORT_FADE_IN: ACT_TELEPORT_FADE_OUT
S | ACT_HEAD_STUCK_IN_GROUND: ACT_DIVE
S | ACT_BUTT_STUCK_IN_GROUND: ACT_GROUND_POUND_LAND: ACT_GROUND_POUND
S | ACT_FEET_STUCK_IN_GROUND
S | ACT_PUTTING_ON_CAP
S | ACT_GRAB_POLE_SLOW: ACT_HOLDING_POLE
S | ACT_GRAB_POLE_FAST: ACT_HOLDING_POLE
S | ACT_CLIMBING_POLE: ACT_HOLDING_POLE
S | ACT_TOP_OF_POLE_JUMP: ACT_TOP_OF_POLE: ACT_TOP_OF_POLE_TRANSITION: ACT_HOLDING_POLE
S | ACT_HANG_MOVING: ACT_HANGING: ACT_START_HANGING
S | ACT_LEDGE_CLIMB_SLOW_2: ACT_LEDGE_CLIMB_SLOW_1: ACT_LEDGE_GRAB
S | ACT_LEDGE_CLIMB_DOWN: ACT_WALKING
S | ACT_LEDGE_CLIMB_FAST: ACT_LEDGE_GRAB
S | ACT_TORNADO_TWIRLING: ACT_TWIRLING
S | ACT_DIVE_PICKING_UP: ACT_DIVE_SLIDE
S | ACT_PLACING_DOWN
S | ACT_THROWING
S | ACT_HEAVY_THROW: ACT_HOLD_HEAVY_IDLE: ACT_PICKING_UP: ACT_PUNCHING
S | ACT_RELEASING_BOWSER: ACT_HOLDING_BOWSER: ACT_PICKING_UP_BOWSER
